Supplier Name,Stage Invoked,Mandatory Restrictions,Reporting Month,Total Monthly Potable Water Production 2014,Total Monthly Potable Water Production 2013,Units,Qualification,Total Population Served,Optional - Enforcement Actions,Optional - Implementation,Optional - Recycled Water,Recycled Water Units, CALCULATED Monthly Gallons Month 2014 ,CALCULATED Monthly Gallons Month 2013,% Residential Use,Comments/Corrections
San Buenaventura  City of,1,No,Jun-14,1523.42,1603.44,AF,,113478,"Prohibited uses. No person shall use or permit the use of water:    1)  For the watering of turf, ornamental landscape, open ground crops and trees, including  agricultural irrigation, in a manner or to an extent which allows water to run to waste;    2) Such that the escape of water through leaks, breaks or malfunction within the water user's  plumbing or distribution system occurs for any period of time beyond which such break or leak  should reasonably have been discovered and corrected. It shall be presumed that a period of  48 hours after the water user discovers such leak, break or malfunction, or receives notice  from the city of such condition, whichever occurs first, is a reasonable time within which to  correct such condition;    3) In conjunction with use of a handheld hose to wash automobiles, trucks, trailers, boats, or  other types of mobile equipment without the use of a workable positive shutoff nozzle;  For the operation of any ornamental fountain, or similar structures, unless water for such use  is recycled for lawful reuse without substantial loss;    4) For washing of sidewalks, walkways, driveways, parking lots or any other hard-surfaced  areas by hose or flooding, except as otherwise necessary to prevent or eliminate conditions  dangerous to the public health and safety or for other legitimate necessity;    5) For serving of water by a restaurant to its customers without first being requested by the  customer; or    6) Knowingly for any indiscriminate running of water or washing with water not otherwise  prohibited above which is wasteful and without reasonable purpose.  ",,106.13,AF," 496,408,581 "," 522,483,212 ",66%,No Correction Needed
Elk Grove Water Service,Stage 1,Yes,Jun-14,262540975,297266361,G,,36399,,,,," 262,540,975 "," 297,266,361 ",96%,No Correction Needed
Newhall County Water District,1b,Yes,Jun-14,1068.05,1099.76,AF,,44316,,,,," 348,025,617 "," 358,358,365 ",61%,No Correction Needed
Valencia Water Company,1-A,No,Jun-14,3274.62,3398.02,AF,,117251,,,66.53,AF," 1,067,039,600 "," 1,107,249,666 ",46%,No Correction Needed
Castaic Lake Water Agency Santa Clarita Water Division,1B,Yes,Jun-14,3111,3084,AF,,118800,,,,," 1,013,723,789 "," 1,004,925,801 ",69%,No Correction Needed
California Water Service Company East Los Angeles,2,No,Jun-14,1424,1442,AF,,150148,,,,," 464,012,432 "," 469,877,758 ",54%,No Correction Needed
Exeter  City of,1,No,Jun-14,89741281,96598600,G,Cannot distinguish percentage of residential use vs commercial ,10334,"Voluntary watering guidelines being used presently. Emergency water conservation ordinance with mandatory restrictions is pending Council approval on August 26, 2014. ",,,," 89,741,281 "," 96,598,600 ",80%,No Correction Needed
"Rio Vista, city of",stage 1,Yes,Jun-14,111,95,MG,,8324,,,,," 111,000,000 "," 95,000,000 ",70%,No Correction Needed
Sweetwater Springs Water District,Stage I,Yes,Jun-14,75.6,86,AF,"This is the percentage of meters that are residential.  We will attempt to improve this by looking at water usage information, but that will take some time.  ",7493,,,,," 24,634,368 "," 28,023,223 ",95%,No Correction Needed
California Water Service Company Visalia,2,No,Jun-14,3425,3771,AF,,134033,,,,," 1,116,041,137 "," 1,228,785,731 ",72%,No Correction Needed
California Water Service Company Selma,2,No,Jun-14,633,733,AF,,24521,,,,," 206,263,953 "," 238,849,096 ",74%,No Correction Needed
California Water Service Company Chico District,2,No,Jun-14,2994,3158,AF,,98691,,,,," 975,599,172 "," 1,029,038,806 ",73%,No Correction Needed
Soquel Creek Water District,3,Yes,Jun-14,115.503,139.074,MG,,37720,,,,," 115,503,000 "," 139,074,000 ",69%,No Correction Needed
East Valley Water District,Stage 1,No,Jun-14,2231.85,2502.65,AF,,97318,,,,," 727,251,507 "," 815,492,074 ",77%,No Correction Needed
California Water Service Company Bear Gulch,2,No,Jun-14,1607,1743,AF,,58242,,,,," 523,643,243 "," 567,959,037 ",89%,No Correction Needed
Buena Park  City of,Phase 1,Yes,Jun-14,1498,1497,AF,,82364,,,,," 488,125,438 "," 487,799,586 ",65%,No Correction Needed
South Gate  City of,Permanent Water Restriction,Yes,Jun-14,755.51,805.1,AF,,95115,,,202.7,AF," 246,184,012 "," 262,342,984 ",90%,No Correction Needed
Hillsborough  Town of,One,No,Jun-14,178580,237837,CCF,"The estimated % of residential is based on 2013 annual purchased and retail meter read data. The Town does not have the ability to calculate % of retail residential on a real-time monthly basis since it reads its residential water meters on a bi-monthly basis. Additionally, there are significant off-sets between residential meter reads and wholesale SFPUC (turnout) meter reads. The Town's finance and public works department typically analyze and align the purchased vs. retailed water data on an annual basis.",10825,"The Town did not have any recorded enforcement actions in June 2014. However, the Town's Public Works and Police Departments notifiy residents of possible leaks, runoff and other possible water waste issues as during the normal course of business.",None. The Town did not receive notice of the State Emergency Resolution until July 2014.,,CCF," 133,587,117 "," 177,914,431 ",88%,No Correction Needed
"California Water Service Company Dixon, City of",2,No,Jun-14,168,176,AF,,9650,,,,," 54,743,040 "," 57,349,851 ",87%,No Correction Needed
Redlands  City of,Stage 2,Yes,Jun-14,3078.7,3041.1,AF,,77852,"3 notice enforcement system:    1. Notice of Non-Compliance  2. Warning of Penalties  3. Imposition of Penalties (a 25% surcharge of the commodity charge portion of the customers next water bill)  Since no citation is issued, utilities staff has authority to issue warnings and penalty.    **Will accept water waste complaints from community and follow up on them and during rebate inspections, if staff sees prohibited use of water.","Mandatory Restrictions, the following are prohibited (there are additional prohibitions not listed):  Irrigation (with Sprinklers) between the hours of 12 noon and 8 pm.  Failure to repair runoff and leaks  Watering of sidewalks and driveways  Car/mobile equipment washing without a positive shutoff valve.  **Implemented watering schedule:***  -Odd addresses can irrigate on odd days of the month  -Even addresses can irrigate on even days of the month",,," 1,003,198,788 "," 990,946,775 ",75%,No Correction Needed
California Water Service Company Dominguez,2,No,Jun-14,3173,2790,AF,,141801,,,,," 1,033,926,578 "," 909,125,481 ",35%,No Correction Needed
Hayward  City of,Stage I,Yes,Jun-14,659485,746705,CCF,,151037,,,,," 493,329,039 "," 558,574,130 ",60%,No Correction Needed
California Water Service Company Hermosa/Redondo,2,No,Jun-14,1134,1140,AF,,95493,,,,," 369,515,518 "," 371,470,627 ",74%,No Correction Needed
California Water Service Company King City,2,No,Jun-14,174,179,AF,,13427,,,,," 56,698,148 "," 58,327,405 ",53%,No Correction Needed
Yucaipa Valley Water District,,,Jun-14,450,440,MG,The Percentage Residential Use of 87% was derived from the water consumption data for specific customer classes.  - The information provided in this report is to add the June 2013 and June 2014 data to the report for Yucaipa Valley Water District.  - Please contact Joseph Zoba at jzoba@yvwd.dst.ca.us if any additional information is required.,42171,,,,," 450,000,000 "," 440,000,000 ",87%,No Correction Needed
California Water Service Company Kern River Valley,2,No,Jun-14,95,93,AF,,5776,,,,," 30,955,886 "," 30,304,183 ",91%,No Correction Needed
California Water Service Company Los Altos/Suburban,2,No,Jun-14,1515,1639,AF,,67940,,,,," 493,664,912 "," 534,070,489 ",76%,No Correction Needed
California Water Service Company Livermore,2,No,Jun-14,943,1298,AF,,56055,,,,," 307,277,896 "," 422,955,152 ",75%,No Correction Needed
West Kern Water District,Responce Leve 2,Yes,Jun-14,1608,2156,AF,"The balance of our production goes to oil, gas and power generation industrial customers",18048,,,,," 523,969,095 "," 702,535,677 ",17%,No Correction Needed
Paso Robles  City of,Stage 2,Yes,Jun-14,229.643,244.4,MG,,30072,,"We implemented mandatory restrictions in 2009 due to water shortage issues. Consideration was given to cancel these restrictions, however we have left them in place to answer the Governor's call for conservation. It should be noted that we have already achieved a 23% reduction from June 2008 vs. June 2014.",,," 229,643,000 "," 244,400,000 ",65%,No Correction Needed
California Water Service Company Marysville,2,No,Jun-14,244,270,AF,,12069,,,,," 79,507,748 "," 87,979,885 ",61%,No Correction Needed
Hemet  City of,20 % voluntary,No,Jun-14,450.94,420.89,AF,,23537,,,,," 146,939,442 "," 137,147,607 ",100%,No Correction Needed
California Water Service Company Mid Peninsula,2,No,Jun-14,1548,1611,AF,,129037,,,,," 504,418,009 "," 524,946,649 ",73%,No Correction Needed
California Water Service Company Palos Verdes,2,No,Jun-14,2183,2034,AF,,69801,,,,," 711,333,665 "," 662,781,803 ",80%,No Correction Needed
"Colton, City of",1,No,Jun-14,1077,1086,AF,"90% OF RESIDENTIAL USAGE PERCENTAGE IS AN ESTIMATE. THE CITY'S INSTALLING (AMR) AUTOMATIC METER READING METERS ON ALL SERVICES TO ACCURATELEY PROVIDE METER READINGS FOR RESIDENTIAL, INDUSTRIAL AND COMMERCIAL USERS.",47429,CITY OF COLTON WILL ADOPT AN ORDINANCE TO PROVIDE ENFORCEMENT ACTIONS FOR WATER CONSERVATION. THE ORDINANCE WILL BE ADOPRTED IN SEPTEMBER 2014 AND WILL BE IN EFFECT ON OCTOBER 2014. ,CITY OF COLTON WILL ADOPT AN ORDINANCE TO PROVIDE ENFORCEMENT ACTIONS FOR WATER CONSERVATION. THE ORDINANCE WILL BE ADOPRTED IN SEPTEMBER 2014 AND WILL BE IN EFFECT ON OCTOBER 2014. ,,," 350,941,987 "," 353,874,650 ",90%,No Correction Needed
California Water Service Company Redwood Valley,2,No,Jun-14,33,45,AF,,3590,,,,," 10,753,097 "," 14,663,314 ",95%,No Correction Needed
Brea  City of,1,Yes,Jun-14,1150,1061,AF,,41394,Education and Administrative citations when non compliant with Phase 1 regulations of Water Ordinance 1123,Rebates  Leak Surveys  Educational Literature  Participate in Public Outreach Events,,AF," 374,729,141 "," 345,728,364 ",48%,No Correction Needed
California Water Service Company Salinas District,2,No,Jun-14,1825,1965,AF,,119516,,,,," 594,678,854 "," 640,298,054 ",56%,No Correction Needed
Wasco  City of,stage 2,Yes,Jun-14,154,151,MG,,19511,,,,," 154,000,000 "," 151,000,000 ",100%,No Correction Needed
California Water Service Company South San Francisco,2,No,Jun-14,757,807,AF,,60172,,,,," 246,669,530 "," 262,962,102 ",39%,No Correction Needed
"Tulare, City of",2,Yes,Jun-14,662070200,716775800,G,this Data comes from our well meters,60289,,,,," 662,070,200 "," 716,775,800 ",70%,DATA CORRECTION
California Water Service Company Stockton,2,No,Jun-14,2858,3040,AF,,168836,,,,," 931,283,378 "," 990,588,338 ",62%,No Correction Needed
California Water Service Company Willows,2,No,Jun-14,177,184,AF,,7028,,,,," 57,675,703 "," 59,956,663 ",76%,No Correction Needed
California Water Service Company Westlake,2,No,Jun-14,832,834,AF,,19434,,,,," 271,108,387 "," 271,760,090 ",72%,No Correction Needed
"East Palo Alto, City of",10 % volunatary as suggested by SFPUC,No,Jun-14,76301,99119,CCF,East Palo Alto sells a small amount of water to Menlo Park. The monthly consumption from Menlo Park takes about two months to get reported.    We promote 10% voluntary water conservation as suggested by SFPUC and BAWSCA,26181,"We distribute Water savings tips to all customers coming to our window for payment.  We also promote water conservation messages on our bi-monthly bills.  We investigate high bills, leaks etc when we notice.  When we notice wastage of water, we call and inform the customers not to do so.",,,," 57,077,112 "," 74,146,161 ",80%,No Correction Needed
